Date : 2024-01-05 00:25:49
Directory : c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet
Total : 1797 files,  655447 codes, 28101 comments, 71064 blanks, all 754612 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\measure.py                                                            | Python           |        126 |          0 |         26 |        152 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\padding.py                                                            | Python           |        121 |          0 |         21 |        142 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\pager.py                                                              | Python           |         23 |          0 |         12 |         35 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\palette.py                                                            | Python           |         82 |          1 |         18 |        101 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\panel.py                                                              | Python           |        281 |          0 |         32 |        313 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\pretty.py                                                             | Python           |        864 |         14 |        118 |        996 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\progress.py                                                           | Python           |      1,434 |         10 |        256 |      1,700 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\progress_bar.py                                                       | Python           |        193 |          1 |         30 |        224 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\prompt.py                                                             | Python           |        295 |          0 |         81 |        376 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\protocol.py                                                           | Python           |         31 |          1 |         11 |         43 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\region.py                                                             | Python           |          7 |          0 |          4 |         11 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\repr.py                                                               | Python           |        116 |          0 |         34 |        150 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\rule.py                                                               | Python           |        109 |          0 |         22 |        131 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\scope.py                                                              | Python           |         73 |          0 |         14 |         87 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\screen.py                                                             | Python           |         44 |          0 |         11 |         55 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\segment.py                                                            | Python           |        624 |          1 |        114 |        739 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\spinner.py                                                            | Python           |        115 |          0 |         23 |        138 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\status.py                                                             | Python           |        113 |          0 |         19 |        132 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\style.py                                                              | Python           |        696 |          2 |         99 |        797 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\styled.py                                                             | Python           |         31 |          0 |         12 |         43 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\syntax.py                                                             | Python           |        840 |         13 |        106 |        959 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\table.py                                                              | Python           |        878 |          4 |        119 |      1,001 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\terminal_theme.py                                                     | Python           |        143 |          0 |         11 |        154 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\text.py                                                               | Python           |      1,159 |          5 |        194 |      1,358 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\theme.py                                                              | Python           |         91 |          0 |         25 |        116 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\themes.py                                                             | Python           |          3 |          0 |          3 |          6 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\traceback.py                                                          | Python           |        656 |         16 |         82 |        754 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\rich\tree.py                                                               | Python           |        215 |          1 |         34 |        250 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\six.py                                                                     | Python           |        755 |         53 |        191 |        999 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\slugify\__init__.py                                                        | Python           |         10 |          0 |          1 |         11 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\slugify\__main__.py                                                        | Python           |         79 |          0 |         18 |         97 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\slugify\__version__.py                                                     | Python           |          8 |          0 |          1 |          9 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\slugify\slugify.py                                                         | Python           |        125 |         17 |         36 |        178 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\slugify\special.py                                                         | Python           |         34 |          4 |         10 |         48 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\sniffio\__init__.py                                                        | Python           |         12 |          0 |          4 |         16 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\sniffio\_impl.py                                                           | Python           |         67 |          6 |         23 |         96 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\sniffio\_tests\__init__.py                                                 | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\sniffio\_tests\test_sniffio.py                                             | Python           |         57 |          3 |         25 |         85 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\sniffio\_version.py                                                        | Python           |          1 |          1 |          2 |          4 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\text_unidecode-1.3.dist-info\DESCRIPTION.rst                               | reStructuredText |         26 |          4 |         17 |         47 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\text_unidecode-1.3.dist-info\metadata.json                                 | JSON             |          1 |          0 |          0 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\text_unidecode\__init__.py                                                 | Python           |         16 |          1 |          5 |         22 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\typing_extensions.py                                                       | Python           |      2,169 |        172 |        552 |      2,893 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\__init__.py                                                        | Python           |        116 |         12 |         22 |        150 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\_base_connection.py                                                | Python           |        134 |          9 |         30 |        173 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\_collections.py                                                    | Python           |        353 |         45 |         86 |        484 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\_request_methods.py                                                | Python           |        177 |          0 |         41 |        218 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\_version.py                                                        | Python           |          2 |          1 |          2 |          5 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\connection.py                                                      | Python           |        694 |         87 |        125 |        906 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\connectionpool.py                                                  | Python           |        887 |        104 |        192 |      1,183 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\contrib\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\contrib\pyopenssl.py                                               | Python           |        421 |         26 |        102 |        549 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\contrib\socks.py                                                   | Python           |        176 |          8 |         47 |        231 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\exceptions.py                                                      | Python           |        192 |         11 |        116 |        319 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\fields.py                                                          | Python           |        283 |          1 |         62 |        346 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\filepost.py                                                        | Python           |         65 |          0 |         25 |         90 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\poolmanager.py                                                     | Python           |        481 |         38 |        120 |        639 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\response.py                                                        | Python           |        857 |         89 |        185 |      1,131 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\__init__.py                                                   | Python           |         39 |          1 |          3 |         43 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\connection.py                                                 | Python           |         93 |         15 |         30 |        138 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\proxy.py                                                      | Python           |         30 |          4 |         10 |         44 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\request.py                                                    | Python           |        185 |         22 |         50 |        257 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\response.py                                                   | Python           |         57 |         20 |         25 |        102 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\retry.py                                                      | Python           |        400 |         16 |        114 |        530 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\ssl_.py                                                       | Python           |        375 |         56 |         84 |        515 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\ssl_match_hostname.py                                         | Python           |        103 |         31 |         26 |        160 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\ssltransport.py                                               | Python           |        224 |          5 |         52 |        281 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\timeout.py                                                    | Python           |        206 |          8 |         66 |        280 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\url.py                                                        | Python           |        346 |         40 |         86 |        472 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\util.py                                                       | Python           |         35 |          0 |          8 |         43 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\urllib3\util\wait.py                                                       | Python           |         72 |         34 |         19 |        125 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\__init__.py                                                       | Python           |          0 |         14 |          1 |         15 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\events.py                                                         | Python           |        442 |         18 |        140 |        600 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\__init__.py                                             | Python           |         62 |         14 |         22 |         98 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\api.py                                                  | Python           |        302 |         20 |         65 |        387 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\fsevents.py                                             | Python           |        236 |         52 |         67 |        355 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\fsevents2.py                                            | Python           |        205 |         25 |         33 |        263 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\inotify.py                                              | Python           |        180 |         19 |         40 |        239 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\inotify_buffer.py                                       | Python           |         81 |         20 |         18 |        119 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\inotify_c.py                                            | Python           |        471 |         40 |         92 |        603 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\kqueue.py                                               | Python           |        502 |         81 |        117 |        700 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\polling.py                                              | Python           |        102 |         20 |         24 |        146 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\read_directory_changes.py                               | Python           |         93 |         30 |         20 |        143 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\observers\winapi.py                                               | Python           |        288 |         58 |         71 |        417 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\tricks\__init__.py                                                | Python           |        249 |         22 |         64 |        335 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\__init__.py                                                 | Python           |         99 |         20 |         32 |        151 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\bricks.py                                                   | Python           |         61 |         16 |         26 |        103 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\delayed_queue.py                                            | Python           |         56 |         17 |         13 |         86 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\dirsnapshot.py                                              | Python           |        285 |         24 |         67 |        376 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\echo.py                                                     | Python           |        115 |         12 |         41 |        168 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\event_debouncer.py                                          | Python           |         40 |          2 |         15 |         57 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\patterns.py                                                 | Python           |         72 |         12 |         12 |         96 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\platform.py                                                 | Python           |         27 |         14 |         17 |         58 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\utils\process_watcher.py                                          | Python           |         19 |          0 |          8 |         27 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\version.py                                                        | Python           |          7 |         16 |          5 |         28 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\watchdog\watchmedo.py                                                      | Python           |        688 |         25 |         96 |        809 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\__init__.py                                                      | Python           |         21 |          0 |          6 |         27 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_abnf.py                                                         | Python           |        358 |         24 |         72 |        454 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_app.py                                                          | Python           |        575 |          9 |         82 |        666 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_cookiejar.py                                                    | Python           |         61 |          0 |         15 |         76 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_core.py                                                         | Python           |        561 |          4 |         83 |        648 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_exceptions.py                                                   | Python           |         66 |          0 |         29 |         95 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_handshake.py                                                    | Python           |        154 |          5 |         44 |        203 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_http.py                                                         | Python           |        289 |         21 |         60 |        370 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_logging.py                                                      | Python           |         74 |          0 |         33 |        107 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_socket.py                                                       | Python           |        149 |          0 |         37 |        186 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_ssl_compat.py                                                   | Python           |         28 |          1 |         10 |         39 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_url.py                                                          | Python           |        154 |          0 |         34 |        188 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_utils.py                                                        | Python           |        426 |          8 |         26 |        460 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\_wsdump.py                                                       | Python           |        201 |          2 |         42 |        245 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\__init__.py                                                | Python           |          0 |          0 |          1 |          1 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\echo-server.py                                             | Python           |         11 |          2 |         11 |         24 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\test_abnf.py                                               | Python           |        109 |          2 |         15 |        126 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\test_app.py                                                | Python           |        264 |         18 |         68 |        350 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\test_cookiejar.py                                          | Python           |         97 |          0 |         27 |        124 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\test_http.py                                               | Python           |        329 |         12 |         31 |        372 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\test_url.py                                                | Python           |        394 |          2 |         52 |        448 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websocket\tests\test_websocket.py                                          | Python           |        403 |         28 |         77 |        508 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\__init__.py                                                     | Python           |        110 |          0 |          5 |        115 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\__main__.py                                                     | Python           |        108 |         19 |         33 |        160 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\auth.py                                                         | Python           |          2 |          1 |          2 |          5 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\client.py                                                       | Python           |        270 |          9 |         80 |        359 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\connection.py                                                   | Python           |          8 |          1 |          5 |         14 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\datastructures.py                                               | Python           |        135 |          8 |         58 |        201 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\exceptions.py                                                   | Python           |        285 |          1 |        118 |        404 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\extensions\__init__.py                                          | Python           |          2 |          0 |          3 |          5 |
| c:\Users\Joinner\Documents\Projects\Python\Practicas\Practicas_flet\Pimeros_pasos_flet\venv_primeros_pasos_flet\Lib\site-packages\websockets\extensions\base.py                                              | Python           |         95 |          0 |         39 |        134 |
